id,name,cost_price,retail_price,set_price,discount_percent,gross_profit,margin_percent
1,Классический,453.32,1685,1360,19.0,907.0,200.0
2,Бюджетный,203.62,960,610,36.0,406.0,200.0
3,Темпура,384.72,1570,1150,27.0,765.0,199.0
4,Запечённый,386.06,1565,1160,26.0,774.0,200.0
5,Фила Премиум,749.64,3020,2250,26.0,1500.0,200.0
6,Хит Комбо,746.1,2880,2240,22.0,1494.0,200.0
7,Party Mix,1034.68,4050,3100,23.0,2065.0,252.0
8,Для компании,693.46,2815,2080,26.0,1387.0,200.0
9,Anteyko,1087.28,4615,3400,26.3,2312.0,213.0
10,Набор на двоих,408.67,1645,1250,24.0,841.33,205.0
11,Набор на троих,454.19,1940,1450,25.26,995.81,219.3
12,Chill на Филармонии,595.94,2400,1800,25.0,1204.06,202.1
